"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,34.08,"B","Break"
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2008","2008",,,"0","Units",,,45500,"B","Break"
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,34.96,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2009","2009",,,"0","Units",,,46600,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,37.3,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2010","2010",,,"0","Units",,,50200,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,38,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2011","2011",,,"0","Units",,,50800,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,36.49,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2012","2012",,,"0","Units",,,49000,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,37.64,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2013","2013",,,"0","Units",,,50400,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,36.96,,
"2","Large regions (TL2)","AT11","Burgenland","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2014","2014",,,"0","Units",,,49300,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,0.56,"E","Estimated value"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,35.87,"B","Break"
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2008","2008",,,"0","Units",,,4300,"E","Estimated value"
