Countries,Date,Expenditure ($M),Education Expenditure (%Bud.),Gov. Health Exp. (%Bud.),Defence Expenditure (%Bud.),Expenditure (%GDP),Ch.
United States,2020,9495390,0.134,0.226,0.079,0.455,9.64
United Kingdom,2020,1333690,0.133,0.187,0.042,0.491,8.01
Germany,2020,1955596,0.112,0.199,0.030,0.508,5.6
France,2020,1621459,0.097,0.155,0.032,0.616,6
Japan,2019,1916314,0.084,0.236,0.025,0.373,0.32
Spain,2020,671932,0.100,0.153,0.019,0.524,10.3
Italy,2020,1078792,0.088,0.134,0.024,0.571,8.6
Portugal,2020,112764,0.108,0.130,0.034,0.493,6.8
Greece,2020,112931,0.074,0.102,0.049,0.598,11.9
Ireland,2020,116542,0.132,0.200,0.010,0.274,3.2
Andorra,2019,1123,0.109,0.140,,0.356,-0.13
United Arab Emirates,2019,127267,0.103,0.079,0.170,0.305,1.6
Afghanistan,2019,5285,0.113,0.023,0.043,0.280,-0.94
Antigua and Barbuda,2020,368,0.089,0.095,,0.268,4.12
Albania,2019,4489,0.134,0.147,0.044,0.294,0.55
Armenia,2020,3883,0.087,0.053,0.167,0.307,5.75
Angola,2020,13330,0.065,0.054,0.078,0.228,2.38
Argentina,2020,164133,0.125,0.161,0.017,0.421,4.39
Austria,2020,247216,0.107,0.153,0.015,0.571,8.5
Australia,2019,541105,0.135,0.178,0.049,0.389,1.98
Azerbaijan,2020,17207,0.105,0.028,0.127,0.403,7.96
Bosnia and Herzegovina,2020,9063,,0.155,0.020,0.457,5.33
Barbados,2020,1570,0.161,0.091,,0.370,9.66
Bangladesh,2019,46588,0.093,0.030,0.096,0.154,1.1
Belgium,2020,309044,0.122,0.153,0.018,0.600,8.2
Burkina Faso,2020,4437,0.227,0.100,0.085,0.255,1.98
Bulgaria,2020,29282,0.127,0.120,0.038,0.418,6.3
Bahrain,2020,12267,0.072,0.085,0.125,0.352,2.41
Burundi,2020,895,0.188,0.085,0.069,0.294,0.59
Benin,2019,2102,0.177,0.046,0.032,0.146,-1.97
Brunei,2020,3995,0.114,0.062,0.107,0.332,0.77
Bolivia,2020,14043,0.168,0.115,0.044,0.380,1.97
Brazil,2020,618716,0.162,0.103,0.032,0.427,5.42
Bahamas,2020,2899,0.112,0.113,,0.257,5.61
Bhutan,2020,810,0.158,0.079,,0.323,6.78
Botswana,2020,5758,0.154,0.143,0.095,0.370,-0.01
Belarus,2020,23379,0.129,0.106,0.308,0.388,1.4
Belize,2020,658,0.215,0.110,0.038,0.385,5.33
Canada,2020,870446,0.122,0.193,0.025,0.528,11.87
Democratic Republic of the Congo,2020,5789,0.140,0.033,0.060,0.119,-1
Central African Republic,2019,385,0.098,0.050,0.106,0.169,-0.68
Republic of the Congo,2018,2630,0.156,0.034,0.111,0.193,-9.06
Switzerland,2020,284610,0.155,0.110,0.022,0.378,5
Ivory Coast,2020,12651,0.151,0.051,0.050,0.206,3.29
Chile,2020,74078,0.214,0.177,0.063,0.292,2.86
Cameroon,2020,6791,0.144,0.031,0.058,0.170,-2.02
