DATAFLOW,LAST UPDATE,freq,training,learning,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,AL,2016,67.8,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,AT,2007,75.7,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,AT,2016,79.3,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,BA,2016,74.7,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,BE,2007,34.9,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,BE,2016,62.7,b
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,BG,2007,28.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,BG,2016,50.8,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,CH,2007,66.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,CH,2016,42.9,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,CY,2007,63.6,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,CY,2016,96.1,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,CZ,2007,54.7,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,CZ,2016,70.2,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,DE,2007,52.4,d
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,DE,2016,43.5,d
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,DK,2016,70.8,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EA19,2007,45.3,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EA19,2016,62.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EE,2007,44.8,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EE,2016,79.6,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EL,2007,20.7,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EL,2016,47.2,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,ES,2007,28.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,ES,2016,58.7,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EU27_2020,2007,41.8,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EU27_2020,2016,59.5,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EU28,2007,43.2,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,EU28,2016,60.3,
