DATAFLOW,LAST UPDATE,freq,unit,emp_cont,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2011,17.6,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2012,18.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2013,18.2,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2014,18.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2015,18.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2016,19.0,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2017,19.7,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2018,18.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2019,18.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,AT,2020,15.1,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2011,8.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2012,7.6,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2013,7.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2014,7.9,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2015,7.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2016,7.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2017,9.4,b
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2018,9.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2019,9.7,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BE,2020,8.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2011,2.1,b
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2012,2.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2013,2.7,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2014,2.6,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2015,2.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2016,2.6,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2017,2.7,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2018,2.7,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2019,2.2,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,BG,2020,1.8,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2011,36.1,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2012,36.0,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2013,36.0,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2014,37.2,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2015,37.8,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2016,38.0,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2017,37.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2018,38.0,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2019,38.1,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CH,2020,33.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2011,9.7,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2012,9.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2013,9.1,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2014,9.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2015,9.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2016,8.1,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2017,8.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2018,7.9,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2019,7.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CY,2020,5.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CZ,2011,14.5,b
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CZ,2012,14.0,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CZ,2013,12.5,b
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CZ,2014,12.1,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CZ,2015,10.8,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CZ,2016,11.0,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CZ,2017,12.1,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CZ,2018,10.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,CZ,2019,9.9,
